county_fips,county_name,acs_year,median_gross_rent,median_hh_income,vacancy_rate,rent_burden_30_plus
08001,"Adams County, Colorado",2024,1781,94571,0.03607381264907326,0.549709179802748
08003,"Alamosa County, Colorado",2024,907,55397,0.0818947659163099,0.35506998975759646
08005,"Arapahoe County, Colorado",2024,1891,101087,0.04497206185375634,0.5419413879027101
08007,"Archuleta County, Colorado",2024,1432,83065,0.39937106918238996,0.4533898305084746
08009,"Baca County, Colorado",2024,592,46215,0.16439737771053958,0.4364406779661017
08011,"Bent County, Colorado",2024,1162,50179,0.1375344986200552,0.4762633996937213
08013,"Boulder County, Colorado",2024,1966,103994,0.053347981399719475,0.571620480540416
08014,"Broomfield County, Colorado",2024,2126,123874,0.043431118607312816,0.4285593578369244
08015,"Chaffee County, Colorado",2024,1611,84132,0.1410033095279568,0.5384012539184952
08017,"Cheyenne County, Colorado",2024,926,70865,0.20385395537525355,0.29767441860465116
08019,"Clear Creek County, Colorado",2024,1467,94577,0.195562435500516,0.5406976744186046
08021,"Conejos County, Colorado",2024,748,50978,0.2294203604481247,0.2853297442799462
08023,"Costilla County, Colorado",2024,927,36861,0.3214138923140156,0.2947976878612717
08025,"Crowley County, Colorado",2024,984,48826,0.14074550128534705,0.3946078431372549
08027,"Custer County, Colorado",2024,1069,72674,0.423018786439214,0.39540816326530615
08029,"Delta County, Colorado",2024,1121,57774,0.13750415973377703,0.509268975166142
08031,"Denver County, Colorado",2024,1831,94718,0.06716984490281745,0.4612068213157389
08033,"Dolores County, Colorado",2024,986,64907,0.20229007633587787,0.24786324786324787
08035,"Douglas County, Colorado",2024,2193,149594,0.030962667552896866,0.49499225932829927
08037,"Eagle County, Colorado",2024,2019,104096,0.349609317411175,0.5988286969253295
08039,"Elbert County, Colorado",2024,1311,132685,0.048144624167459564,0.28772635814889336
08041,"El Paso County, Colorado",2024,1696,90363,0.04379831423280458,0.5286755548296208
08043,"Fremont County, Colorado",2024,1070,62664,0.12759039068187333,0.4165715590047934
08045,"Garfield County, Colorado",2024,1637,91131,0.062076704203903335,0.4423509561304837
08047,"Gilpin County, Colorado",2024,1658,95361,0.16657768286171917,0.2794871794871795
08049,"Grand County, Colorado",2024,1493,88612,0.5709201538373228,0.39778449144008055
08051,"Gunnison County, Colorado",2024,1252,84527,0.32080601311370543,0.4927330733782347
08053,"Hinsdale County, Colorado",2024,1171,75972,0.6195085629188384,0.04918032786885246
08055,"Huerfano County, Colorado",2024,838,52526,0.3518712105373197,0.4261658031088083
08057,"Jackson County, Colorado",2024,1701,47667,0.4056007226738934,0.29473684210526313
08059,"Jefferson County, Colorado",2024,1861,110656,0.046688540623250015,0.5101319842862392
08061,"Kiowa County, Colorado",2024,800,58618,0.20945945945945946,0.25136612021857924
08063,"Kit Carson County, Colorado",2024,973,70259,0.15519253208868145,0.31651954602774274
08065,"Lake County, Colorado",2024,1397,96575,0.2417775546070801,0.5815217391304348
08067,"La Plata County, Colorado",2024,1504,86056,0.15908934115212142,0.4920970928591589
08069,"Larimer County, Colorado",2024,1716,93765,0.06350112332260612,0.5267321380304532
08071,"Las Animas County, Colorado",2024,891,52074,0.20281517747858016,0.43575964826575475
08073,"Lincoln County, Colorado",2024,868,62861,0.172544080604534,0.2926391382405745
08075,"Logan County, Colorado",2024,1013,51829,0.06154902185104679,0.40086830680173663
08077,"Mesa County, Colorado",2024,1182,73658,0.059154768540353585,0.4412624841361805
08079,"Mineral County, Colorado",2024,928,56250,0.6726039016115352,0.5213675213675214
08081,"Moffat County, Colorado",2024,1039,73849,0.12157757496740547,0.3196125907990315
08083,"Montezuma County, Colorado",2024,942,65244,0.08937373737373737,0.5197908887229276
08085,"Montrose County, Colorado",2024,1188,72120,0.08548436076525964,0.46558704453441296
08087,"Morgan County, Colorado",2024,1025,73278,0.062267028126058964,0.447179203539823
08089,"Otero County, Colorado",2024,839,54037,0.13286073633661102,0.4365180467091295
08091,"Ouray County, Colorado",2024,1786,91020,0.25715094873973376,0.43231441048034935
08093,"Park County, Colorado",2024,2161,103670,0.36101237025451444,0.2762520193861066
08095,"Phillips County, Colorado",2024,999,64674,0.09796672828096119,0.31876138433515483
08097,"Pitkin County, Colorado",2024,2004,102645,0.3129287205487623,0.47737226277372263
08099,"Prowers County, Colorado",2024,808,53508,0.13615623288921336,0.5401412973667309
08101,"Pueblo County, Colorado",2024,1111,64010,0.06956250169730875,0.48283624085537424
08103,"Rio Blanco County, Colorado",2024,919,65473,0.14896844660194175,0.22052704576976423
08105,"Rio Grande County, Colorado",2024,945,64411,0.22415356711003628,0.3428063943161634
08107,"Routt County, Colorado",2024,1917,106489,0.3429436775583901,0.5192023633677991
08109,"Saguache County, Colorado",2024,828,50082,0.12942080984110713,0.40688775510204084
08111,"San Juan County, Colorado",2024,992,77824,0.45934959349593496,0.42021276595744683
08113,"San Miguel County, Colorado",2024,1149,79024,0.3082932692307692,0.5114369501466276
08115,"Sedgwick County, Colorado",2024,774,52386,0.15815485996705106,0.4236111111111111
08117,"Summit County, Colorado",2024,1928,109773,0.6110198133391213,0.49186875891583454
08119,"Teller County, Colorado",2024,1880,85361,0.1326605236214714,0.4984478935698448
08121,"Washington County, Colorado",2024,947,67167,0.09488412767818102,0.23809523809523808
08123,"Weld County, Colorado",2024,1539,97097,0.04126908212933036,0.5204215189448602
08125,"Yuma County, Colorado",2024,942,60545,0.059501845018450183,0.4593528018942384
08007,"Archuleta County, Colorado",2014,914,48186,0.39592990390050875,0.48465873512836566
08055,"Huerfano County, Colorado",2014,682,32932,0.4395303326810176,0.46578947368421053
08015,"Chaffee County, Colorado",2014,817,48528,0.23942969518190757,0.4223404255319149
08045,"Garfield County, Colorado",2014,1111,57214,0.12870183859769424,0.5022740193291643
08079,"Mineral County, Colorado",2014,663,47986,0.6995192307692307,0.4
08115,"Sedgwick County, Colorado",2014,559,43864,0.2747081712062257,0.31095406360424027
08027,"Custer County, Colorado",2014,692,32261,0.5290336879432624,0.4709976798143852
08001,"Adams County, Colorado",2014,1003,57421,0.056799931866848355,0.4991450814901048
08065,"Lake County, Colorado",2014,917,46174,0.3037435552566689,0.34524776604386676
08097,"Pitkin County, Colorado",2014,1242,71060,0.4333795440542206,0.34478476821192056
08017,"Cheyenne County, Colorado",2014,600,53900,0.16259298618490967,0.13186813186813187
08033,"Dolores County, Colorado",2014,643,32578,0.46923076923076923,0.2916666666666667
08069,"Larimer County, Colorado",2014,1001,58844,0.09226514025395839,0.5445931789081597
08113,"San Miguel County, Colorado",2014,1113,59490,0.5027624309392266,0.4952755905511811
08029,"Delta County, Colorado",2014,810,42389,0.13725895316804407,0.4607759841404701
08039,"Elbert County, Colorado",2014,1109,82154,0.08080133555926544,0.3877327491785323
08125,"Yuma County, Colorado",2014,626,43279,0.13593327321911633,0.35285396590066714
08117,"Summit County, Colorado",2014,1143,64521,0.6546977857570317,0.4354647720544701
08095,"Phillips County, Colorado",2014,615,44390,0.10292524377031419,0.4053030303030303
08031,"Denver County, Colorado",2014,913,51800,0.06733786610878661,0.474579879745395
08061,"Kiowa County, Colorado",2014,683,39375,0.29240506329113924,0.2781456953642384
08009,"Baca County, Colorado",2014,526,38625,0.27212094264117387,0.3065217391304348
08047,"Gilpin County, Colorado",2014,1043,65851,0.2772887323943662,0.46540880503144655
08063,"Kit Carson County, Colorado",2014,644,41495,0.12746498999714204,0.3434146341463415
08051,"Gunnison County, Colorado",2014,882,51371,0.44904347826086954,0.5088325652841782
08059,"Jefferson County, Colorado",2014,1008,69698,0.045178196158469616,0.47817208204755857
08091,"Ouray County, Colorado",2014,1053,60701,0.3582138200782269,0.39925373134328357
08103,"Rio Blanco County, Colorado",2014,736,63910,0.20552884615384615,0.2743972445464983
08123,"Weld County, Colorado",2014,868,58100,0.05653497303480961,0.481010377630441
08021,"Conejos County, Colorado",2014,538,37357,0.2946803546430238,0.3954983922829582
08023,"Costilla County, Colorado",2014,614,33594,0.4745954083552879,0.5428571428571428
08035,"Douglas County, Colorado",2014,1353,102626,0.040342331679337186,0.39633667255941857
08037,"Eagle County, Colorado",2014,1231,73774,0.42539500509684,0.43534409515717926
08067,"La Plata County, Colorado",2014,1026,58456,0.19235327853182949,0.4626971720903794
08081,"Moffat County, Colorado",2014,739,50123,0.2088658793075554,0.5019485580670304
08105,"Rio Grande County, Colorado",2014,569,38673,0.2856712370046708,0.3567433188315724
08011,"Bent County, Colorado",2014,706,39053,0.1794401101422671,0.47761194029850745
08025,"Crowley County, Colorado",2014,600,31534,0.2446877012234385,0.3911290322580645
08111,"San Juan County, Colorado",2014,833,37679,0.5357142857142857,0.5538461538461539
08057,"Jackson County, Colorado",2014,708,45606,0.49410840534171246,0.3034825870646766
08075,"Logan County, Colorado",2014,634,41749,0.1271611823759063,0.368836291913215
08083,"Montezuma County, Colorado",2014,713,43431,0.11418598853153827,0.4435857805255023
08119,"Teller County, Colorado",2014,961,62559,0.24263199369582347,0.5698198198198198
08013,"Boulder County, Colorado",2014,1149,69407,0.05500777604976672,0.5485621388870582
08071,"Las Animas County, Colorado",2014,761,45707,0.28528091251061766,0.45633971291866027
08073,"Lincoln County, Colorado",2014,677,43701,0.2002730996813837,0.4218487394957983
08107,"Routt County, Colorado",2014,1150,61095,0.4138859976734219,0.4628158844765343
08003,"Alamosa County, Colorado",2014,622,31400,0.0956692319299834,0.5412955465587045
08019,"Clear Creek County, Colorado",2014,795,68531,0.279290356578254,0.35696517412935325
08043,"Fremont County, Colorado",2014,697,40569,0.13537163393926768,0.4527491408934708
08101,"Pueblo County, Colorado",2014,761,41974,0.09966467958271237,0.521117815179422
08085,"Montrose County, Colorado",2014,829,44885,0.08014223194748359,0.4613699721226603
08087,"Morgan County, Colorado",2014,736,46223,0.08914086349760139,0.37012987012987014
08093,"Park County, Colorado",2014,1087,60800,0.48959147424511545,0.5671806167400881
08109,"Saguache County, Colorado",2014,639,33398,0.3319619439444587,0.44485294117647056
08077,"Mesa County, Colorado",2014,841,48610,0.06743634350782857,0.5283747481531229
08099,"Prowers County, Colorado",2014,548,35408,0.16666666666666666,0.42857142857142855
08053,"Hinsdale County, Colorado",2014,722,55682,0.7111264685556323,0.3448275862068966
08041,"El Paso County, Colorado",2014,941,57487,0.06505752048741557,0.4832959869627215
08121,"Washington County, Colorado",2014,580,44271,0.17866004962779156,0.33587786259541985
08049,"Grand County, Colorado",2014,982,64109,0.6820706916549661,0.30537974683544306
08005,"Arapahoe County, Colorado",2014,1029,62213,0.05080961053865921,0.5118525942846487
08089,"Otero County, Colorado",2014,646,32594,0.1731824801165005,0.5321207430340558
08014,"Broomfield County, Colorado",2014,1248,80430,0.0521404360379964,0.43680162530837324
08001,"Adams County, Colorado",2009,869,55258,0.08854466318132927,0.4867388784880093
08003,"Alamosa County, Colorado",2009,559,32362,0.10561970746728253,0.529631164525487
08005,"Arapahoe County, Colorado",2009,862,58968,0.0724968568834253,0.4897864639884184
08007,"Archuleta County, Colorado",2009,783,54909,0.6709106341700012,0.5074626865671642
08009,"Baca County, Colorado",2009,414,33504,0.271200327734535,0.22969187675070027
08011,"Bent County, Colorado",2009,572,35647,0.14327979712595096,0.2844574780058651
08013,"Boulder County, Colorado",2009,982,65040,0.06627214138056828,0.5618606734861494
08014,"Broomfield County, Colorado",2009,1004,76240,0.06340615690168819,0.4137497380004192
08015,"Chaffee County, Colorado",2009,699,42808,0.24325425109459323,0.5206698063840921
08017,"Cheyenne County, Colorado",2009,410,46313,0.32045929018789143,0.0873015873015873
08019,"Clear Creek County, Colorado",2009,797,62823,0.26158637113024363,0.4451697127937337
08021,"Conejos County, Colorado",2009,481,33141,0.2799627647195718,0.30987821380243574
08023,"Costilla County, Colorado",2009,434,23041,0.4368262181974989,0.4066265060240964
08025,"Crowley County, Colorado",2009,550,35494,0.23806532663316582,0.2696335078534031
08027,"Custer County, Colorado",2009,693,44713,0.49820887296775973,0.4709418837675351
08029,"Delta County, Colorado",2009,727,40658,0.10639583176017518,0.3738159675236806
08031,"Denver County, Colorado",2009,779,45438,0.09958002050638362,0.4776840941593479
08033,"Dolores County, Colorado",2009,558,41961,0.46166134185303515,0.375
08035,"Douglas County, Colorado",2009,1142,99522,0.03867805543307733,0.3765663350988244
08037,"Eagle County, Colorado",2009,1254,69139,0.3794259454572849,0.44984963736069344
08039,"Elbert County, Colorado",2009,867,74345,0.07746800731261426,0.4135429262394196
08041,"El Paso County, Colorado",2009,801,56570,0.087071022281662,0.4589338570914825
08043,"Fremont County, Colorado",2009,664,37852,0.11605002605523711,0.5520446096654275
08045,"Garfield County, Colorado",2009,989,64837,0.09994831069968517,0.420550341975505
08047,"Gilpin County, Colorado",2009,957,55455,0.2992056487202118,0.7227036395147314
08049,"Grand County, Colorado",2009,851,58981,0.6386901485965878,0.4310089020771513
08051,"Gunnison County, Colorado",2009,816,44577,0.4612515154341136,0.5077625570776255
08053,"Hinsdale County, Colorado",2009,604,53750,0.8725490196078431,0.12307692307692308
08055,"Huerfano County, Colorado",2009,532,31136,0.32792079207920793,0.43255295429208473
08057,"Jackson County, Colorado",2009,656,32788,0.4301369863013699,0.3157894736842105
08059,"Jefferson County, Colorado",2009,884,65891,0.05107484286695188,0.4705613797768008
08061,"Kiowa County, Colorado",2009,517,42422,0.2713026444662096,0.23553719008264462
08063,"Kit Carson County, Colorado",2009,538,40754,0.16301292861157954,0.2231578947368421
08065,"Lake County, Colorado",2009,739,39147,0.33590989399293286,0.677158273381295
08067,"La Plata County, Colorado",2009,923,53713,0.1674043629465697,0.4488855869242199
08069,"Larimer County, Colorado",2009,821,54755,0.10047382229705917,0.5454205107634711
08071,"Las Animas County, Colorado",2009,659,37587,0.20808605341246292,0.38946224877783814
08073,"Lincoln County, Colorado",2009,647,39572,0.18447785453067858,0.3686708860759494
08075,"Logan County, Colorado",2009,606,39992,0.07932884373929917,0.29930124223602483
08077,"Mesa County, Colorado",2009,788,50611,0.060313051826707126,0.41271608171817703
08079,"Mineral County, Colorado",2009,846,52153,0.6756569847856155,0.42857142857142855
08081,"Moffat County, Colorado",2009,728,53723,0.11391361688097593,0.3880057803468208
08083,"Montezuma County, Colorado",2009,631,43697,0.09291479820627803,0.3332144131287906
08085,"Montrose County, Colorado",2009,750,44922,0.08863119864809743,0.4252324037184595
08087,"Morgan County, Colorado",2009,671,43317,0.09375837128315029,0.32487961476725524
08089,"Otero County, Colorado",2009,544,32149,0.1321832642545088,0.41061879297173415
08091,"Ouray County, Colorado",2009,1123,58836,0.29779258642232403,0.34791666666666665
08093,"Park County, Colorado",2009,1139,60186,0.4641159331390891,0.4576612903225806
08095,"Phillips County, Colorado",2009,548,39830,0.15402089959109497,0.294238683127572
08097,"Pitkin County, Colorado",2009,1277,62318,0.3625668449197861,0.3584379358437936
08099,"Prowers County, Colorado",2009,515,35166,0.17476681394207166,0.38615096693699313
08101,"Pueblo County, Colorado",2009,649,40805,0.10498039567807009,0.5280886364901731
08103,"Rio Blanco County, Colorado",2009,615,54812,0.1487844408427877,0.3546875
08105,"Rio Grande County, Colorado",2009,569,39683,0.4497068110058638,0.42351453855878635
08107,"Routt County, Colorado",2009,1051,64046,0.3164770332911926,0.4549744396382226
08109,"Saguache County, Colorado",2009,576,29523,0.2940084835630965,0.3378212974296206
08111,"San Juan County, Colorado",2009,770,44336,0.5263852242744064,0.49079754601226994
08113,"San Miguel County, Colorado",2009,909,60457,0.502038819115968,0.4719585849870578
08115,"Sedgwick County, Colorado",2009,490,37792,0.2465972778222578,0.2713178294573643
08117,"Summit County, Colorado",2009,1181,67329,0.6506361413332389,0.44479297365119197
08119,"Teller County, Colorado",2009,830,56686,0.2696367716731776,0.5156646909398814
08121,"Washington County, Colorado",2009,551,38818,0.13790322580645162,0.2503793626707132
08123,"Weld County, Colorado",2009,768,55795,0.09091206776108976,0.46094087181700477
08125,"Yuma County, Colorado",2009,518,39945,0.09248291571753986,0.17567567567567569
