Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
2018,08,001,4,8,Adams County                  ,2415,2415,714587400,9,18,3704359,4,15,2512915,17,349,42702066,2402,2402,711026847,9,18,3704359,4,15,2512915,17,349,42702066
2018,08,003,4,8,Alamosa County                ,21,21,2736289,2,4,240110,1,3,193990,1,16,1388057,21,21,2736289,2,4,240110,1,3,193990,1,16,1388057
2018,08,005,4,8,Arapahoe County               ,2202,2202,568562629,6,12,1858752,19,58,10793496,32,1320,207508997,2200,2200,568304112,6,12,1858752,18,55,10448151,32,1320,207508997
2018,08,007,4,8,Archuleta County              ,153,153,35006168,3,6,774000,1,3,739914,0,0,0,153,153,35006168,3,6,774000,1,3,739914,0,0,0
2018,08,009,4,8,Baca County                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,08,011,4,8,Bent County                   ,3,3,1312395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,08,013,4,8,Boulder County                ,899,899,361903341,6,12,2250787,9,30,5101163,84,2013,254124424,842,842,346687712,4,8,1593498,7,24,4405055,81,1990,250131256
2018,08,014,4,8,Broomfield County             ,587,587,171522752,0,0,0,0,0,0,4,198,27699012,587,587,171522752,0,0,0,0,0,0,4,198,27699012
2018,08,015,4,8,Chaffee County                ,144,144,38150302,3,6,971886,4,12,2198800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,08,017,4,8,Cheyenne County               ,6,6,978468,0,0,0,0,0,0,0,0,0,1,1,400000,0,0,0,0,0,0,0,0,0
2018,08,019,4,8,Clear Creek County            ,19,19,4840840,0,0,0,0,0,0,3,15,2181255,17,17,4334886,0,0,0,0,0,0,0,0,0
2018,08,021,4,8,Conejos County                ,22,22,8427000,0,0,0,0,0,0,0,0,0,22,22,8427000,0,0,0,0,0,0,0,0,0
2018,08,023,4,8,Costilla County               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,08,025,4,8,Crowley County                ,1,1,218750,0,0,0,0,0,0,0,0,0,1,1,218750,0,0,0,0,0,0,0,0,0
2018,08,027,4,8,Custer County                 ,77,77,21399000,0,0,0,0,0,0,0,0,0,75,75,20842000,0,0,0,0,0,0,0,0,0
2018,08,029,4,8,Delta County                  ,48,48,8347791,0,0,0,0,0,0,0,0,0,48,48,8347791,0,0,0,0,0,0,0,0,0
2018,08,031,4,8,Denver County                 ,2428,2428,634753840,49,98,20387217,3,12,2299800,98,5340,795438031,2428,2428,634753840,49,98,20387217,3,12,2299800,98,5340,795438031
2018,08,033,4,8,Dolores County                ,1,1,360000,0,0,0,0,0,0,0,0,0,1,1,360000,0,0,0,0,0,0,0,0,0
2018,08,035,4,8,Douglas County                ,2709,2709,830886934,7,14,3052686,3,10,2177699,58,1332,179963438,2636,2636,804745894,7,14,3052686,1,4,1139895,58,1332,179963438
2018,08,037,4,8,Eagle County                  ,263,263,90699012,12,24,4263180,8,29,4707305,5,66,15091170,83,83,35948683,10,20,3660296,8,29,4707305,3,52,9891170
2018,08,039,4,8,Elbert County                 ,217,217,66406365,0,0,0,0,0,0,0,0,0,217,217,66406365,0,0,0,0,0,0,0,0,0
2018,08,041,4,8,El Paso County                ,4081,4081,1568822150,4,8,2068357,6,24,3162645,61,1473,212870132,4081,4081,1568822150,4,8,2068357,6,24,3162645,61,1473,212870132
2018,08,043,4,8,Fremont County                ,127,127,27386394,0,0,0,0,0,0,1,10,316287,126,126,27276394,0,0,0,0,0,0,1,10,316287
2018,08,045,4,8,Garfield County               ,122,122,33023798,2,4,1102947,5,15,2201577,7,48,9600000,112,112,31096649,1,2,794698,0,0,0,0,0,0
2018,08,047,4,8,Gilpin County                 ,41,41,11103918,0,0,0,0,0,0,0,0,0,41,41,11103918,0,0,0,0,0,0,0,0,0
2018,08,049,4,8,Grand County                  ,198,198,69370872,0,0,0,0,0,0,1,15,2230652,113,113,40582963,0,0,0,0,0,0,0,0,0
2018,08,051,4,8,Gunnison County               ,169,169,55460528,0,0,0,0,0,0,0,0,0,160,160,44354154,0,0,0,0,0,0,0,0,0
2018,08,053,4,8,Hinsdale County               ,9,9,3792825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,08,055,4,8,Huerfano County               ,38,38,6940507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,08,057,4,8,Jackson County                ,5,5,1772000,0,0,0,0,0,0,0,0,0,5,5,1772000,0,0,0,0,0,0,0,0,0
2018,08,059,4,8,Jefferson County              ,1008,1008,292699133,29,58,6453518,19,63,7179009,29,1009,129495442,993,993,288540408,29,58,6453518,18,60,6540395,28,939,119606695
2018,08,061,4,8,Kiowa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,08,063,4,8,Kit Carson County             ,3,3,539000,0,0,0,0,0,0,0,0,0,3,3,539000,0,0,0,0,0,0,0,0,0
2018,08,065,4,8,Lake County                   ,37,37,7561555,1,2,266125,3,12,1133852,0,0,0,37,37,7561555,1,2,266125,3,12,1133852,0,0,0
2018,08,067,4,8,La Plata County               ,238,238,107316701,0,0,0,0,0,0,2,44,4282096,238,238,107316701,0,0,0,0,0,0,2,44,4282096
2018,08,069,4,8,Larimer County                ,1679,1679,468723144,24,48,7938290,7,26,4078528,48,1191,165059765,1679,1679,468723144,24,48,7938290,7,26,4078528,48,1191,165059765
2018,08,071,4,8,Las Animas County             ,40,40,5429750,0,0,0,0,0,0,0,0,0,40,40,5429750,0,0,0,0,0,0,0,0,0
2018,08,073,4,8,Lincoln County                ,10,10,1543845,0,0,0,0,0,0,1,8,265000,10,10,1543845,0,0,0,0,0,0,1,8,265000
2018,08,075,4,8,Logan County                  ,20,20,4836927,0,0,0,0,0,0,0,0,0,17,17,4435014,0,0,0,0,0,0,0,0,0
2018,08,077,4,8,Mesa County                   ,822,822,128485100,4,8,937583,0,0,0,0,0,0,822,822,128485100,4,8,937583,0,0,0,0,0,0
2018,08,079,4,8,Mineral County                ,19,19,3659703,0,0,0,0,0,0,0,0,0,4,4,853737,0,0,0,0,0,0,0,0,0
2018,08,081,4,8,Moffat County                 ,7,7,1845900,0,0,0,0,0,0,0,0,0,7,7,1845900,0,0,0,0,0,0,0,0,0
2018,08,083,4,8,Montezuma County              ,17,17,3513234,1,2,213415,0,0,0,0,0,0,14,14,2937018,0,0,0,0,0,0,0,0,0
2018,08,085,4,8,Montrose County               ,309,309,40746514,2,4,245560,6,23,1908170,1,50,5500000,309,309,40746514,2,4,245560,6,23,1908170,1,50,5500000
2018,08,087,4,8,Morgan County                 ,140,140,24680482,1,2,328000,1,4,735000,0,0,0,140,140,24680482,1,2,328000,1,4,735000,0,0,0
2018,08,089,4,8,Otero County                  ,6,6,1400000,0,0,0,0,0,0,0,0,0,6,6,1400000,0,0,0,0,0,0,0,0,0
2018,08,091,4,8,Ouray County                  ,49,49,18914902,1,2,654000,1,4,920000,1,6,980000,14,14,4712500,1,2,654000,1,4,920000,1,6,980000
2018,08,093,4,8,Park County                   ,182,182,46703575,0,0,0,0,0,0,0,0,0,182,182,46703575,0,0,0,0,0,0,0,0,0
2018,08,095,4,8,Phillips County               ,11,11,1534279,0,0,0,0,0,0,0,0,0,11,11,1534279,0,0,0,0,0,0,0,0,0
2018,08,097,4,8,Pitkin County                 ,47,47,100863929,3,6,7144763,2,6,8085164,3,24,24391644,26,26,95025379,1,2,344763,0,0,0,0,0,0
2018,08,099,4,8,Prowers County                ,1,1,90000,0,0,0,0,0,0,0,0,0,1,1,90000,0,0,0,0,0,0,0,0,0
2018,08,101,4,8,Pueblo County                 ,479,479,74234203,0,0,0,0,0,0,0,0,0,479,479,74234203,0,0,0,0,0,0,0,0,0
2018,08,103,4,8,Rio Blanco County             ,19,19,3183148,0,0,0,0,0,0,0,0,0,19,19,3183148,0,0,0,0,0,0,0,0,0
2018,08,105,4,8,Rio Grande County             ,20,20,3987420,0,0,0,0,0,0,0,0,0,20,20,3987420,0,0,0,0,0,0,0,0,0
2018,08,107,4,8,Routt County                  ,154,154,88452852,8,16,5518854,0,0,0,0,0,0,154,154,88452852,8,16,5518854,0,0,0,0,0,0
2018,08,109,4,8,Saguache County               ,106,106,7671985,0,0,0,0,0,0,0,0,0,106,106,7671985,0,0,0,0,0,0,0,0,0
2018,08,111,4,8,San Juan County               ,7,7,1307000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,08,113,4,8,San Miguel County             ,41,41,65656723,1,2,2110494,0,0,0,1,10,6500000,39,39,64656723,1,2,2110494,0,0,0,1,10,6500000
2018,08,115,4,8,Sedgwick County               ,2,2,788850,0,0,0,0,0,0,0,0,0,2,2,788850,0,0,0,0,0,0,0,0,0
2018,08,117,4,8,Summit County                 ,305,305,179905199,5,10,3701743,0,0,0,19,328,50759630,262,262,167341837,5,10,3701743,0,0,0,18,282,42837410
2018,08,119,4,8,Teller County                 ,148,148,43773197,0,0,0,0,0,0,0,0,0,148,148,43773197,0,0,0,0,0,0,0,0,0
2018,08,121,4,8,Washington County             ,9,9,1607440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,08,123,4,8,Weld County                   ,3194,3194,808971029,4,8,1421565,18,65,11159201,43,840,63898143,2896,2896,727670685,4,8,1421565,16,59,9482013,36,782,57644761
2018,08,125,4,8,Yuma County                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
