Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
2024,08,001000,001,    ,99990 ,00000 ,97489 ,216,19740, , ,80601      ,4,8,12,Adams County Unincorporated Area,370,370,114688114,0,0,0,0,0,0,2,10,1207323,370,370,114688114,0,0,0,0,0,0,2,10,1207323
2024,08,003000,071,0005,00760 ,00000 ,479 ,999,99999, , ,81020      ,4,8,12,Aguilar town,1,1,75000,0,0,0,0,0,0,0,0,0,1,1,75000,0,0,0,0,0,0,0,0,0
2024,08,005000,121,0010,00925 ,00000 ,1682 ,999,99999, , ,80720      ,4,8,12,Akron town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,007000,003,0015,01090 ,00000 ,9367 ,999,10480, ,2,81101      ,4,8,12,Alamosa,4,4,1135605,6,12,1842965,0,0,0,0,0,0,4,4,1135605,6,12,1842965,0,0,0,0,0,0
2024,08,009000,003,    ,99990 ,00000 ,6709 ,999,10480, , ,81101      ,4,8,0,Alamosa County Unincorporated Area,35,35,6261314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,011000,093,0020,01530 ,00000 ,329 ,216,19740, , ,80420      ,4,8,12,Alma town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,013000,021,0025,02355 ,00000 ,752 ,999,10480, , ,81120      ,4,8,12,Antonito town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,015000,005,    ,99990 ,00000 ,94719 ,216,19740, , ,80112      ,4,8,10,Arapahoe County Unincorporated Area,535,535,164047784,0,0,0,10,40,5837670,23,151,15107715,457,457,141187059,0,0,0,10,40,5837670,21,112,9098223
2024,08,017000,007,    ,99990 ,00000 ,12064 ,999,99999, , ,81147      ,4,8,0,Archuleta County Unincorporated Area,107,107,34395811,1,2,487000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,023000,059,0040,03455 ,00000 ,118822 ,216,19740,2, ,80002      ,4,8,12,Arvada,364,364,112393263,0,0,0,0,0,0,0,0,0,364,364,112393263,0,0,0,0,0,0,0,0,0
2024,08,025000,097,0045,03620 ,00000 ,7657 ,233,40090, , ,81611      ,4,8,12,Aspen,14,14,114336199,0,0,0,3,12,4500000,0,0,0,14,14,114336199,0,0,0,3,12,4500000,0,0,0
2024,08,027000,123,0050,03950 ,00000 ,2126 ,216,24540, , ,80610      ,4,8,12,Ault town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,031000,005,0055,04000 ,00000 ,337361 ,216,19740,2,1,800121553  ,4,8,12,Aurora,1711,1711,354642848,0,0,0,0,0,0,11,663,100564285,1711,1711,354642848,0,0,0,0,0,0,11,663,100564285
2024,08,035000,037,0057,04110 ,00000 ,6952 ,233,20780, , ,816200975  ,4,8,12,Avon town,7,7,31405000,0,0,0,1,4,1500000,3,247,84741655,7,7,31405000,0,0,0,1,4,1500000,3,247,84741655
2024,08,039000,037,0060,04935 ,00000 ,3180 ,233,20780,2, ,81621      ,4,8,0,Basalt town,4,4,1438772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,043000,067,0065,05265 ,00000 ,2586 ,999,20420, , ,81122      ,4,8,9,Bayfield town,20,20,8103474,0,0,0,0,0,0,0,0,0,17,17,7041741,0,0,0,0,0,0,0,0,0
2024,08,045000,001,0075,06090 ,00000 ,2564 ,216,19740,2, ,801027806  ,4,8,12,Bennett town,105,105,32496571,0,0,0,0,0,0,0,0,0,105,105,32496571,0,0,0,0,0,0,0,0,0
2024,08,047000,011,    ,99990 ,00000 ,3228 ,999,99999, , ,81054      ,4,8,12,Bent County Unincorporated Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,049000,069,0080,06255 ,00000 ,10668 ,999,22660,2, ,80513      ,4,8,12,Berthoud town,226,226,103398967,0,0,0,0,0,0,0,0,0,226,226,103398967,0,0,0,0,0,0,0,0,0
2024,08,051000,063,0085,06530 ,00000 ,235 ,999,99999, , ,80805      ,4,8,12,Bethune town,3,3,450000,0,0,0,0,0,0,0,0,0,3,3,450000,0,0,0,0,0,0,0,0,0
2024,08,053000,047,0090,07025 ,00000 ,131 ,216,19740, , ,80422      ,4,8,12,Black Hawk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,055000,023,0095,07190 ,00000 ,407 ,999,10480, , ,81123      ,4,8,0,Blanca town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,057000,117,0097,07410 ,00000 ,928 ,999,14720, , ,80424      ,4,8,12,Blue River town,7,7,3356410,0,0,0,0,0,0,0,0,0,7,7,3356410,0,0,0,0,0,0,0,0,0
2024,08,063000,013,0110,07850 ,00000 ,107645 ,216,14500, ,1,803060791  ,4,8,12,Boulder,35,35,21128945,3,6,2154302,1,4,942982,6,361,100481661,35,35,21128945,3,6,2154302,1,4,942982,6,361,100481661
2024,08,065000,013,    ,99990 ,00000 ,43885 ,216,14500,2, ,80306      ,4,8,12,Boulder County Unincorporated Area,55,55,60111176,0,0,0,0,0,0,0,0,0,55,55,60111176,0,0,0,0,0,0,0,0,0
2024,08,067000,005,0115,08070 ,00000 ,667 ,216,19740,2, ,801231586  ,4,8,12,Bow Mar town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,073000,117,0125,08400 ,00000 ,4954 ,999,14720, ,2,80424      ,4,8,12,Breckenridge town,74,74,76518306,0,0,0,0,0,0,1,11,3069600,74,74,76518306,0,0,0,0,0,0,1,11,3069600
2024,08,075000,001,0130,08675 ,00000 ,39123 ,216,19740,2, ,80601      ,4,8,12,Brighton,655,655,257870382,0,0,0,0,0,0,3,72,10488364,655,655,257870382,0,0,0,0,0,0,3,72,10488364
2024,08,079000,043,0140,09115 ,00000 ,261 ,444,15860, , ,81212      ,4,8,12,Brookside town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,083000,014,0143,09280 ,00000 ,72236 ,216,19740,2,1,80020      ,4,8,12,Broomfield,57,57,25645883,0,0,0,4,13,3608172,20,335,47821740,57,57,25645883,0,0,0,4,13,3608172,20,335,47821740
