Vintage 2024 Prepared October 2025,,,,,,,,
countyfips,countyname,year,estimate,change,births,deaths,netmig,datatype
0,Colorado,1970,2224610,58710,40348,17274,35636,Estimate
1,Adams,1970,187058,6058,3608,835,3285,Estimate
3,Alamosa,1970,11484,484,218,76,342,Estimate
5,Arapahoe,1970,163683,5683,2645,858,3896,Estimate
7,Archuleta,1970,2698,-342,57,19,-380,Estimate
9,Baca,1970,5653,-167,91,68,-190,Estimate
11,Bent,1970,6488,-262,87,63,-286,Estimate
13,Boulder,1970,133432,6432,2309,780,4903,Estimate
15,Chaffee,1970,10273,323,159,101,265,Estimate
17,Cheyenne,1970,2396,-64,38,22,-80,Estimate
19,Clear Creek,1970,4993,643,82,37,598,Estimate
21,Conejos,1970,7829,-261,153,57,-357,Estimate
23,Costilla,1970,3080,-40,49,26,-63,Estimate
25,Crowley,1970,3085,-35,38,46,-27,Estimate
27,Custer,1970,1131,21,14,13,20,Estimate
29,Delta,1970,15316,-184,213,213,-184,Estimate
31,Denver,1970,515985,1985,9802,5275,-2542,Estimate
33,Dolores,1970,1628,-102,31,15,-118,Estimate
35,Douglas,1970,8594,774,129,66,711,Estimate
37,Eagle,1970,7689,1169,169,42,1042,Estimate
39,Elbert,1970,3912,52,39,41,54,Estimate
41,El Paso,1970,238384,13384,5270,1363,9477,Estimate
43,Fremont,1970,22110,610,298,331,643,Estimate
45,Garfield,1970,14965,565,253,150,462,Estimate
47,Gilpin,1970,1301,151,21,14,144,Estimate
49,Grand,1970,4236,346,72,27,301,Estimate
51,Gunnison,1970,7714,394,123,40,311,Estimate
53,Hinsdale,1970,203,-6,5,3,-8,Estimate
55,Huerfano,1970,6527,-73,95,88,-80,Estimate
57,Jackson,1970,1850,60,36,12,36,Estimate
59,Jefferson,1970,237712,12712,3963,1286,10035,Estimate
61,Kiowa,1970,2022,-38,32,23,-47,Estimate
63,Kit Carson,1970,7579,69,131,71,9,Estimate
65,Lake,1970,8313,673,196,58,535,Estimate
67,La Plata,1970,19316,-384,340,189,-535,Estimate
69,Larimer,1970,91179,5479,1578,655,4556,Estimate
71,Las Animas,1970,15803,-497,252,209,-540,Estimate
73,Lincoln,1970,4861,51,62,64,53,Estimate
75,Logan,1970,18881,-19,302,166,-155,Estimate
77,Mesa,1970,54548,648,816,555,387,Estimate
79,Mineral,1970,794,58,13,6,51,Estimate
81,Moffat,1970,6569,-161,111,61,-211,Estimate
83,Montezuma,1970,13040,-60,238,127,-171,Estimate
85,Montrose,1970,18357,-43,308,188,-163,Estimate
87,Morgan,1970,20268,768,356,184,596,Estimate
89,Otero,1970,23398,-602,409,271,-740,Estimate
91,Ouray,1970,1543,-67,23,19,-71,Estimate
93,Park,1970,2208,98,23,20,95,Estimate
95,Phillips,1970,4085,-235,55,59,-231,Estimate
97,Pitkin,1970,6342,682,121,25,586,Estimate
99,Prowers,1970,13274,274,265,128,137,Estimate
101,Pueblo,1970,118533,-1467,2206,1035,-2638,Estimate
103,Rio Blanco,1970,4828,-32,77,45,-64,Estimate
105,Rio Grande,1970,10453,-347,192,118,-421,Estimate
107,Routt,1970,6733,563,109,58,512,Estimate
109,Saguache,1970,3833,3,82,36,-43,Estimate
111,San Juan,1970,822,-3,24,6,-21,Estimate
113,San Miguel,1970,1973,23,40,18,1,Estimate
115,Sedgwick,1970,3406,-144,45,41,-148,Estimate
117,Summit,1970,2794,564,47,14,531,Estimate
119,Teller,1970,3392,122,61,27,88,Estimate
121,Washington,1970,5520,-160,70,51,-179,Estimate
123,Weld,1970,90033,2833,1578,668,1923,Estimate
125,Yuma,1970,8501,-249,119,112,-256,Estimate
0,Colorado,1971,2284660,60050,40937,17680,36793,Estimate
1,Adams,1971,192134,5076,3705,881,2252,Estimate
3,Alamosa,1971,11731,247,207,80,120,Estimate
5,Arapahoe,1971,169845,6162,2677,884,4369,Estimate
7,Archuleta,1971,2556,-142,58,18,-182,Estimate
9,Baca,1971,5567,-86,87,68,-105,Estimate
11,Bent,1971,6469,-19,88,67,-40,Estimate
13,Boulder,1971,139606,6174,2268,778,4684,Estimate
15,Chaffee,1971,10719,446,162,107,391,Estimate
17,Cheyenne,1971,2397,1,36,28,-7,Estimate
19,Clear Creek,1971,5689,696,97,39,638,Estimate
21,Conejos,1971,7762,-67,153,60,-160,Estimate
23,Costilla,1971,3037,-43,59,35,-67,Estimate
25,Crowley,1971,3082,-3,40,40,-3,Estimate
27,Custer,1971,1176,45,14,13,44,Estimate
29,Delta,1971,15437,121,217,216,120,Estimate
31,Denver,1971,521213,5228,9644,5337,921,Estimate
33,Dolores,1971,1578,-50,28,13,-65,Estimate
35,Douglas,1971,9344,750,136,68,682,Estimate
37,Eagle,1971,8452,763,187,49,625,Estimate
39,Elbert,1971,3947,35,49,37,23,Estimate
41,El Paso,1971,248034,9650,5520,1461,5591,Estimate
43,Fremont,1971,22780,670,321,339,688,Estimate
45,Garfield,1971,15540,575,269,158,464,Estimate
47,Gilpin,1971,1417,116,19,14,111,Estimate
49,Grand,1971,4750,514,79,32,467,Estimate
51,Gunnison,1971,8257,543,134,41,450,Estimate
53,Hinsdale,1971,206,3,4,4,3,Estimate
55,Huerfano,1971,6274,-253,81,93,-241,Estimate
57,Jackson,1971,2007,157,38,16,135,Estimate
59,Jefferson,1971,247090,9378,4018,1345,6705,Estimate
61,Kiowa,1971,1994,-28,34,20,-42,Estimate
63,Kit Carson,1971,7777,198,134,66,130,Estimate
65,Lake,1971,8436,123,213,47,-43,Estimate
67,La Plata,1971,19786,470,346,164,288,Estimate
69,Larimer,1971,96297,5118,1565,689,4242,Estimate
71,Las Animas,1971,16037,234,261,210,183,Estimate
73,Lincoln,1971,4963,102,63,60,99,Estimate
75,Logan,1971,18996,115,324,167,-42,Estimate
77,Mesa,1971,55245,697,863,594,428,Estimate
79,Mineral,1971,824,30,14,6,22,Estimate
81,Moffat,1971,6744,175,110,57,122,Estimate
83,Montezuma,1971,13393,353,253,114,214,Estimate
85,Montrose,1971,18321,-36,316,188,-164,Estimate
87,Morgan,1971,20918,650,357,193,486,Estimate
89,Otero,1971,22897,-501,428,265,-664,Estimate
91,Ouray,1971,1529,-14,20,14,-20,Estimate
93,Park,1971,2299,91,30,21,82,Estimate
95,Phillips,1971,3899,-186,61,52,-195,Estimate
97,Pitkin,1971,6970,628,124,27,531,Estimate
99,Prowers,1971,13339,65,278,145,-68,Estimate
101,Pueblo,1971,119714,1181,2214,1051,18,Estimate
103,Rio Blanco,1971,4773,-55,85,42,-98,Estimate
105,Rio Grande,1971,10287,-166,200,120,-246,Estimate
107,Routt,1971,7295,562,120,66,508,Estimate
109,Saguache,1971,3855,22,79,37,-20,Estimate
111,San Juan,1971,788,-34,18,9,-43,Estimate
113,San Miguel,1971,2070,97,36,20,81,Estimate
115,Sedgwick,1971,3408,2,55,47,-6,Estimate
117,Summit,1971,3308,514,62,14,466,Estimate
119,Teller,1971,3696,304,64,29,269,Estimate
121,Washington,1971,5401,-119,71,49,-141,Estimate
123,Weld,1971,92978,2945,1624,669,1990,Estimate
125,Yuma,1971,8327,-174,120,107,-187,Estimate
0,Colorado,1972,2378318,93660,39485,17890,72065,Estimate
1,Adams,1972,201659,9525,3578,942,6889,Estimate
3,Alamosa,1972,12104,373,204,87,256,Estimate
5,Arapahoe,1972,182615,12770,2633,932,11069,Estimate
7,Archuleta,1972,2540,-16,68,19,-65,Estimate
9,Baca,1972,5675,108,93,67,82,Estimate
11,Bent,1972,6359,-110,87,66,-131,Estimate
13,Boulder,1972,149630,10024,2198,802,8628,Estimate
15,Chaffee,1972,11213,494,159,101,436,Estimate
17,Cheyenne,1972,2251,-146,35,29,-152,Estimate
19,Clear Creek,1972,5846,157,94,41,104,Estimate
21,Conejos,1972,7780,18,138,69,-51,Estimate
23,Costilla,1972,3201,164,60,37,141,Estimate
25,Crowley,1972,3195,113,44,39,108,Estimate
27,Custer,1972,1227,51,12,11,50,Estimate
29,Delta,1972,16016,579,217,218,580,Estimate
31,Denver,1972,520235,-978,8861,5232,-4607,Estimate
33,Dolores,1972,1544,-34,23,14,-43,Estimate
35,Douglas,1972,10324,980,126,63,917,Estimate
37,Eagle,1972,8763,311,171,49,189,Estimate
39,Elbert,1972,4045,98,51,40,87,Estimate
41,El Paso,1972,265926,17892,5525,1540,13907,Estimate
43,Fremont,1972,23521,741,302,330,769,Estimate
45,Garfield,1972,16008,468,268,151,351,Estimate
47,Gilpin,1972,1515,98,18,13,93,Estimate
49,Grand,1972,5689,939,92,34,881,Estimate
51,Gunnison,1972,8442,185,123,44,106,Estimate
