Vintage 2024 Prepared October 2025,,,,,,,,,,,,,,,,
id,countyfips,year,births,censusbuildingpermits,deaths,groupquarterspopulation,householdpopulation,households,householdsize,naturalincrease,netmigration,totalhousingunits,vacancyrate,vacanthousingunits,totalpopulation,hhldpoptothuratio
1,0,1985,55115,30898,20234,81139,3133309,1221557,2.57,34881,5172,1402558,12.9,181001,3214448,2.233996027
2,1,1985,5210,2741,1304,2256,266508,94949,2.81,3906,-807,104376,9,9427,268764,2.553345597
3,3,1985,258,10,79,884,12127,4277,2.84,179,-85,5113,16.4,836,13011,2.371797379
4,5,1985,6458,5069,1602,3536,377708,140787,2.68,4856,9246,153726,8.4,12939,381244,2.457020933
5,7,1985,101,9,22,0,5213,1837,2.84,79,149,3379,45.6,1542,5213,1.542764131
6,9,1985,83,1,62,0,4873,1867,2.61,21,-195,2581,27.7,714,4873,1.888027896
7,11,1985,80,6,64,424,5275,1986,2.66,16,-155,2532,21.6,546,5699,2.083333333
8,13,1985,3326,1953,1064,8600,200844,79100,2.54,2262,-3005,88178,10.3,9078,209444,2.277710994
9,14,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,15,1985,156,73,107,612,11737,4543,2.58,49,-538,6402,29,1859,12349,1.833333333
11,17,1985,55,3,21,14,2280,965,2.36,34,23,1060,9,95,2294,2.150943396
12,19,1985,140,53,40,45,7891,3093,2.55,100,84,4596,32.7,1503,7936,1.716927763
13,21,1985,143,1,60,0,7776,2486,3.13,83,-312,3316,25,830,7776,2.344993969
14,23,1985,50,0,20,0,3363,1167,2.88,30,73,1614,27.7,447,3363,2.083643123
15,25,1985,51,1,36,53,2944,1262,2.33,15,94,1309,3.6,47,2997,2.249045073
16,27,1985,22,0,22,18,2048,823,2.49,0,160,1300,36.7,477,2066,1.575384615
17,29,1985,323,10,245,331,23135,9237,2.5,78,-617,9974,7.4,737,23466,2.31953078
18,31,1985,8952,1272,4541,13031,483400,226540,2.13,4411,-4595,238346,5,11806,496431,2.028143959
19,33,1985,27,0,9,0,1548,571,2.71,18,-154,916,37.7,345,1548,1.689956332
20,35,1985,679,2160,129,163,39885,11824,3.37,550,3214,15225,22.3,3401,40048,2.619704433
21,37,1985,386,74,41,6,18023,7498,2.4,345,923,13585,44.8,6087,18029,1.326683842
22,39,1985,109,184,42,35,8525,2908,2.93,67,233,3520,17.4,612,8560,2.421875
23,41,1985,7055,6499,1851,17384,351122,133562,2.63,5204,8645,149466,10.6,15904,368506,2.349176401
24,43,1985,364,259,374,2749,28617,10955,2.61,-10,93,13085,16.3,2130,31366,2.187008024
25,45,1985,467,56,172,444,25270,9426,2.68,295,-238,12647,25.5,3221,25714,1.998102317
26,47,1985,41,36,17,51,3030,1128,2.69,24,31,2185,48.4,1057,3081,1.386727689
27,49,1985,144,160,41,9,9203,3751,2.45,103,218,9948,62.3,6197,9212,0.925110575
28,51,1985,140,87,50,1399,8991,4072,2.21,90,-117,7165,43.2,3093,10390,1.254849965
29,53,1985,5,20,0,0,472,168,2.81,5,-116,888,81.1,720,472,0.531531532
